regulon,target_gene
ATF3(+),ATF4
ATF3(+),UBALD2
ATF3(+),NET1
ATF3(+),SFPQ
ATF3(+),PCF11
ATF3(+),KDM3A
ATF3(+),HECTD4
ATF3(+),SOBP
ATF3(+),UBR5
ATF3(+),RPS6KA6
ATF3(+),RAB22A
ATF3(+),ZMYM5
ATF3(+),KDM2A
ATF3(+),IP6K2
ATF3(+),NUP35
ATF3(+),DOCK1
ATF3(+),RLIM
ATF3(+),HSF1
ATF3(+),RAF1
ATF3(+),ASF1A
ATF3(+),RPRD2
ATF3(+),WTAP
ATF3(+),RBM25
ATF3(+),SRRM1
ATF3(+),WAC
ATF3(+),SRSF5
ATF3(+),PUM1
ATF3(+),HSPA8
ATF3(+),MMADHC
ATF3(+),AKAP8L
ATF3(+),NUFIP2
ATF3(+),TAF3
ATF3(+),PPP1CC
ATF3(+),FARSA
ATF3(+),ARF1
ATF3(+),CWC27
ATF3(+),ABL1
ATF3(+),CALR
ATF3(+),PSMD8
ATF3(+),PRR14
ATF3(+),FXYD6
ATF3(+),YBX3
ATF3(+),LATS1
ATF3(+),DYM
ATF3(+),CLK2
ATF3(+),H1F0
ATF3(+),THAP4
ATF3(+),ARCN1
ATF3(+),CNOT1
ATF3(+),COL2A1
ATF3(+),SPEN
ATF3(+),GBF1
ATF3(+),EIF1B
ATF3(+),USP21
ATF3(+),FBXL3
ATF3(+),IGF2BP1
ATF3(+),RSPRY1
ATF3(+),ASXL1
ATF3(+),C1orf43
ATF3(+),RBM4
ATF3(+),CEP350
ATF3(+),RBM4B
ATF3(+),INTS6
ATF3(+),MAT2A
ATF3(+),MAP2K4
ATF3(+),EGLN3
ATF3(+),NGFR
ATF3(+),MED1
ATF3(+),MAP2K5
ATF3(+),AKNAD1
ATF3(+),TAF15
ATF3(+),DDX42
ATF3(+),BAIAP2
ATF3(+),ERRFI1
ATF3(+),KCNQ2
ATF3(+),SPOPL
ATF3(+),SGK1
ATF3(+),CWC25
ATF3(+),GABARAPL2
ATF3(+),USP42
ATF3(+),JMJD1C
ATF3(+),PTS
