regulon,target_gene
ATF1(+),EGR2
ATF1(+),CRB3
ATF1(+),SYP
ATF1(+),ZNF200
ATF1(+),LACTB2
ATF1(+),SRSF3
ATF1(+),MSX2
ATF1(+),MORF4L2
ATF1(+),HOXA10-AS
ATF1(+),XRCC6
ATF1(+),SLC30A9
ATF1(+),LINC01301
ATF1(+),SUMO1
ATF1(+),ZC3H13
ATF1(+),ATG16L1
ATF1(+),PHF1
ATF1(+),WDR33
ATF1(+),ZWILCH
ATF1(+),CNOT3
ATF1(+),KBTBD11-OT1
ATF1(+),PLPPR5
ATF1(+),RB1
ATF1(+),POLR2K
ATF1(+),CEP85L
ATF1(+),ZBTB3
ATF1(+),PGRMC1
ATF1(+),PCNP
ATF1(+),ZNF75D
ATF1(+),GUK1
ATF1(+),UNC50
ATF1(+),NEK11
ATF1(+),FBXL17
ATF1(+),CNRIP1
ATF1(+),CWC22
ATF1(+),IDH3B
ATF1(+),COMMD7
ATF1(+),FUNDC2
ATF1(+),CALML6
ATF1(+),STARD10
ATF1(+),ENO1
ATF1(+),SLC46A1
ATF1(+),TOLLIP
ATF1(+),TSPAN33
ATF1(+),GNB5
ATF1(+),CITED2
ATF1(+),DMTN
ATF1(+),SLC33A1
ATF1(+),HMGN2
ATF1(+),GPR137B
ATF1(+),DDX39A
ATF1(+),EIF4A3
ATF1(+),SRD5A3
ATF1(+),KPNB1
ATF1(+),ADK
ATF1(+),DERL2
ATF1(+),SAYSD1
ATF1(+),EXOG
ATF1(+),MT1H
ATF1(+),SLC22A18AS
ATF1(+),ZNF98
ATF1(+),RBM22
ATF1(+),LAMTOR4
ATF1(+),SEPT2
ATF1(+),COPS3
ATF1(+),TMEM229A
ATF1(+),DLD
ATF1(+),PATL1
ATF1(+),HIST3H2A
ATF1(+),PDE6D
ATF1(+),PPP1CB
ATF1(+),CDC34
ATF1(+),FANK1
ATF1(+),SOCS4
ATF1(+),HIRIP3
ATF1(+),PRPS1
ATF1(+),EIF4G2
ATF1(+),TMED2
ATF1(+),THAP9-AS1
ATF1(+),RNASEL
ATF1(+),QARS
ATF1(+),ARL2BP
ATF1(+),MCM8
